Name,Description,Script
Rollout,Reroll a random amount,var dicelist = []; for(mydice in self.dicepool) { if(mydice.available()) { dicelist.push(mydice); } } var numlist = []; if(dicelist.length > 0) { sfx(~diceroll~); dicelist = shuffle(dicelist); numlist = [0]; for(i in 0...dicelist.length) { numlist.push(numlist[numlist.length - 1] + 1); } numlist.shift(); var r = rand(numlist); for(i in 0...r) { dicelist[i].animatereroll(rand([1[;]2[;]3[;]4[;]5[;]6])[;] self.screenposition()); } }
Electrify,Shock a random amount,var r = rand([1[;]1[;]1[;]1[;]1[;]1[;]2[;]2[;]2[;]2[;]2[;]2[;]3[;]3[;]3[;]3[;]4[;]5]); inflict(SHOCK[;] r); sfx(~_shock~);
Light Switch,Copy a dice for next turn,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available()){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); inflictself(~stash~+dicelist[0].basevalue); dicelist[0].animate(~flashshake~); inflictself(~ncr_lightswitch~+dicelist[0].basevalue); sfx(~magic~); }
Proximity Mine,Reroll dice nearest to this,if(!self.isplayer) { self.textparticle(~No effect!~); } else { var proximy = self.getskillcard().y + (self.getskillcard().height / 2) - 132; var proximx = self.getskillcard().x + (self.getskillcard().width / 2) - 110; var dicelist = []; for(mydice in self.dicepool) { if(mydice.available()) { dicelist.push(mydice); } } if(dicelist.length != 0) { var proxlist = []; for(mydice in dicelist) { proxlist.push(((mydice.x - proximx) * (mydice.x - proximx)) + ((mydice.y - proximy) * (mydice.y - proximy))); if(proxlist[proxlist.length - 1] < 0) { proxlist[proxlist.length - 1] = proxlist[proxlist.length - 1] * -1; } } var min = [0[;]999999999999999999999]; for(prox in proxlist) { trace(prox); trace(min[1]); trace(~---~); if(prox < min[1]) { min[1] = prox; min[0] = proxlist.indexOf(prox); } } sfx(~diceroll~); dicelist[min[0]].animatereroll(rand([1[;]2[;]3[;]4[;]5[;]6])[;] self.screenposition()); } else { self.textparticle(~No dice!~); } }
Demise,Take 1 damage,pierceattackself(1); sfxdamage(target[;] 1);
Cruciroll,Roll 2 burning dice,inflictself(FIRE[;]2); givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])]);
Redemption,Get rid of [curse]Curse (once),self.setvar(~sin~[;]0); removestatusself(CURSE[;]getstatusself(CURSE)); sfx(~_survive~); Gadget.changegadget(self[;]~Redemption~[;]~Broken Gadget~);
Bearish Spell,Turn enemy into a bear,inflict(~instanttransform~); sfx(~_thinghappens~); Gadget.changegadget(self[;] ~Bearish Spell~[;] ~Broken Gadget~);
Ice Cream Truck,Freeze everyone,var highestvalue = 0; if (self.dicepool.length > 0) { for (mydice in self.dicepool) { if (mydice.available() && mydice.basevalue > highestvalue && !mydice.burn) { highestvalue = mydice.basevalue; } } } if(highestvalue > 0) { for (mydice in self.dicepool) { if (mydice.basevalue == highestvalue) { mydice.animate(ICE); break; } } } inflict(ICE); self.symbolparticle(ICE); sfx(~_ice~[;]~~[;]0.2);
Frying Pan,Burn everyone,if (self.dicepool.length > 0) { for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn) { mydice.animate(FIRE); break; } } } inflict(FIRE); sfx(~_fire~[;]~~[;]0.2); self.symbolparticle(FIRE);
Perfect Cut,[95%]-1 to all dice[;] roll a 1 per each,var c = 0; var extradice = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue > 1){ extradice.push(1); mydice.animatereroll((mydice.basevalue - 1)[;] self.screenposition()[;] c * 0.05); c++; } } } givedice(extradice);
Snow Cover,Roll a few ones,givedice(rand([[1][;][1[;]1][;][1[;]1][;][1[;]1[;]1][;][1[;]1[;]1][;][1[;]1[;]1][;][1[;]1[;]1[;]1][;][1[;]1[;]1[;]1][;][1[;]1[;]1[;]1][;][1[;]1[;]1[;]1[;]1][;][1[;]1[;]1[;]1[;]1][;][1[;]1[;]1[;]1[;]1[;]1]]));
Stress,Gain [heal][]2 max hp (once),self.maxhp += 2; attackself(-2); Gadget.changegadget(self[;] ~Stress~[;] ~Broken Gadget~);
Infinity Fantasy,Get a temporary gadget,Gadget.givegadget(self[;]rand([~Pea Gun~[;]~Stardust~[;]~Power Up~[;]~Throw Dice~[;]~Stress~[;]~Blood Sip~[;]~Snake Eyes~[;]~Magic Dice~[;]~Bubble Gun~[;]~Lucky Shot~[;]~Dramatic Pause~[;]~Teleport~[;]~Random Roll~[;]~Cruciroll~[;]~Ice Cream Truck~[;]~Zap~[;]~Frying Pan~[;]~Mumble~[;]~Needle~[;]~Hook~[;]~Harvest~[;]~Magic Spanner~[;]~Replicate~[;]~Flash Freeze~])[;]true);
Randomizer,Get a temporary gadget (once),Gadget.givegadget(self[;]rand([~Pea Gun~[;]~Stardust~[;]~Power Up~[;]~Throw Dice~[;]~Stress~[;]~Blood Sip~[;]~Snake Eyes~[;]~Magic Dice~[;]~Bubble Gun~[;]~Lucky Shot~[;]~Dramatic Pause~[;]~Teleport~[;]~Random Roll~[;]~Cruciroll~[;]~Ice Cream Truck~[;]~Zap~[;]~Frying Pan~[;]~Mumble~[;]~Needle~[;]~Hook~[;]~Harvest~[;]~Magic Spanner~[;]~Replicate~[;]~Flash Freeze~])[;]true); Gadget.changegadget(self[;] ~Randomizer~[;] ~Broken Gadget~);
Globe,Roll 4 extra dice,givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])][;]~~[;]true); sfx(~useitem~);
Random Hit,Do 1-6 dmg of a random type,var type = rand([FIRE[;]ICE[;]WEAKEN[;]SHOCK]); var dam = rand([1[;]2[;]3[;]4[;]5[;]6]); attack(dam[;] type); sfxdamage(target[;] dam); sfx(~_~ + type);
Telescope,+1 dice this fight; get a new dice,givedice(); self.extradice++; sfx(~magic_gaindice~);
thiefyboi,AAAAAAAAAAAAAAAAAAAAAAAAA,var a = ~Thieving Tools@~ + rand([~roll~|~vise~|~dupli~|~spanner~|~screw~|~bump~|~nudge~|~pick~]); self.replaceskillcard(a); self.getskillcard().animate(~error~); 
